N,project_id,TAZID,pctu_ch
20697,83.0,1995.0,0.5600117827096392
20697,83.0,1996.0,0.9695370544617447
20697,83.0,2007.0,0.0007475979997750146
20697,83.0,2008.0,0.14247271075043122
20697,83.0,2009.0,0.47097577955554154
20697,83.0,2022.0,0.9870114260936553
20697,83.0,2034.0,0.9999993181435883
20780,83.0,1996.0,0.8785176960620832
20825,83.0,1977.0,0.9816962832713164
20860,83.0,1999.0,0.3203026466215715
20860,83.0,2013.0,0.9950338106522718
20860,83.0,2014.0,0.8760552233864833
20860,83.0,2015.0,1.0
20884,83.0,1981.0,0.0
20905,119.0,926.0,0.40916369295690025
20951,83.0,1977.0,1.0
21022,150.0,2149.0,0.0
21028,150.0,2179.0,0.8485888506929101
21028,150.0,2183.0,0.47096673166581404
21028,150.0,2185.0,0.12450033408328567
