TAZID,N,project_id,TOTEMP,TOTHH
515.0,27838.0,3.0,0.0,0.054035210077767765
521.0,-1.0,-1.0,0.5661566544441382,0.9674533286455405
521.0,27838.0,3.0,0.4338433455558618,0.032546671354459523
522.0,-1.0,-1.0,0.7871664704853067,0.9623365684507387
522.0,27838.0,3.0,0.21283352951469328,0.03766343154926126
595.0,-1.0,-1.0,0.5486100871293109,0.9387715713815917
595.0,27311.0,3.0,0.45138991287068897,0.061228428618408236
596.0,-1.0,-1.0,0.8093750474872551,0.8847060138883954
596.0,27311.0,3.0,0.1906249525127449,0.11529398611160452
600.0,-1.0,-1.0,0.9181603148634098,0.9289986915210899
600.0,27311.0,3.0,0.08183968513659023,0.07100130847891
601.0,-1.0,-1.0,0.8676512315114133,0.8796538628418931
601.0,27311.0,3.0,0.13234876848858682,0.12034613715810698
604.0,-1.0,-1.0,0.8632817130757799,0.9679225809436726
604.0,27696.0,3.0,0.1367182869242201,0.03207741905632728
605.0,-1.0,-1.0,0.8801570210545282,0.9275068081633687
605.0,27696.0,3.0,0.11984297894547186,0.07249319183663133
609.0,-1.0,-1.0,0.922445095550673,1.0
609.0,27696.0,3.0,0.077554904449327,0.0
610.0,-1.0,-1.0,0.9022538989599288,0.9145857988090456
610.0,27696.0,3.0,0.09774610104007123,0.0854142011909544
614.0,-1.0,-1.0,0.8783900830550297,0.9721990955999997
614.0,27492.0,3.0,0.12160991694497016,0.027800904400000413
615.0,-1.0,-1.0,0.9149349866501125,1.0
615.0,27492.0,3.0,0.08506501334988747,0.0
618.0,-1.0,-1.0,0.9173340824010562,0.971666486340513
618.0,27492.0,3.0,0.0826659175989438,0.028333513659487088
619.0,-1.0,-1.0,0.9202296085129137,0.9610483342215969
619.0,27492.0,3.0,0.07977039148708627,0.038951665778403165
657.0,-1.0,-1.0,0.9966946206497265,0.0
657.0,10036.0,3.0,0.0033053793502734415,1.0
658.0,-1.0,-1.0,0.9050265559192586,0.8977374315211857
658.0,10036.0,3.0,0.04422852760088134,0.05063017554915269
658.0,27575.0,3.0,0.050744916479859944,0.05163239292966154
659.0,-1.0,-1.0,0.5536157987863899,0.5139198821578139
659.0,27575.0,3.0,0.4463842012136102,0.4860801178421861
660.0,-1.0,-1.0,0.9090380500446396,0.7530893392400955
660.0,27575.0,3.0,0.0909619499553604,0.24691066075990453
663.0,-1.0,-1.0,0.819432554322094,0.8504385012211763
663.0,10036.0,3.0,0.1557527612041381,0.010975836049415473
663.0,27104.0,3.0,0.01704412306251069,0.13858566272940825
663.0,27302.0,3.0,0.00017635651148089585,0.0
663.0,27479.0,3.0,0.0075942048997761575,0.0
664.0,-1.0,-1.0,0.08517945129181659,0.08619098791359282
664.0,10036.0,3.0,0.11626189009269516,0.12324809181594967
